Date   ;Time         Channel;Channel;BPM;Antenna;Power
2015-06-03;15:49:56;1;31.3;1;48
2015-06-03;15:49:58;1;31.3;1;48
2015-06-03;15:50:00;1;31.4;1;49
2015-06-03;15:50:02;1;31.4;1;46
2015-06-03;15:50:03;1;31.4;1;49
2015-06-03;15:50:05;1;31.4;1;50
2015-06-03;15:50:07;1;31.4;1;48
2015-06-03;15:50:09;1;31.4;1;49
2015-06-03;15:50:11;1;31.4;1;49
2015-06-03;15:50:13;1;31.4;1;46
2015-06-03;15:50:15;1;31.4;1;47
2015-06-03;15:50:17;1;31.3;1;48
2015-06-03;15:50:19;1;31.4;1;49
2015-06-03;15:50:21;1;31.3;1;48
2015-06-03;15:50:24;1;31.3;1;48
2015-06-03;15:50:25;1;31.3;1;46
2015-06-03;15:50:27;1;31.3;1;44
2015-06-03;15:50:29;1;31.3;1;46
2015-06-03;15:50:31;1;31.3;1;48
2015-06-03;15:50:33;1;31.3;1;44
2015-06-03;15:50:35;1;31.4;1;46
2015-06-03;15:50:37;1;31.4;1;48
2015-06-03;15:50:39;1;31.4;1;43
2015-06-03;15:50:41;1;31.3;1;48
2015-06-03;15:50:43;1;31.4;1;48
2015-06-03;15:50:45;1;31.3;1;48
2015-06-03;15:50:47;1;31.4;1;43
2015-06-03;15:50:48;1;31.4;1;47
2015-06-03;15:50:50;1;31.4;1;48
2015-06-03;15:50:52;1;31.3;1;51
2015-06-03;15:50:54;1;31.4;1;47
2015-06-03;15:50:56;1;31.4;1;46
2015-06-03;15:50:58;1;31.4;1;46
2015-06-03;15:51:00;1;31.4;1;43
2015-06-03;15:51:02;1;31.3;1;42
2015-06-03;15:51:04;1;31.4;1;46
2015-06-03;15:51:06;1;31.4;1;46
2015-06-03;15:51:08;1;31.4;1;46
2015-06-03;15:51:09;1;31.4;1;45
2015-06-03;15:51:11;1;31.4;1;43
2015-06-03;15:51:13;1;31.3;1;41
2015-06-03;15:51:15;1;31.3;1;44
2015-06-03;15:51:17;1;31.4;1;43
2015-06-03;15:51:19;1;31.4;1;46
2015-06-03;15:51:21;1;31.4;1;47
2015-06-03;15:51:25;1;31.4;1;47
2015-06-03;15:51:27;1;31.4;1;50
2015-06-03;15:51:29;1;31.4;1;47
2015-06-03;15:51:31;1;31.4;1;48
2015-06-03;15:51:32;1;31.4;1;49
2015-06-03;15:51:34;1;31.4;1;46
2015-06-03;15:51:36;1;31.4;1;45
2015-06-03;15:51:38;1;31.4;1;47
2015-06-03;15:51:40;1;31.4;1;47
2015-06-03;15:51:42;1;31.4;1;47
2015-06-03;15:51:44;1;31.4;1;41
